Candidate,Party,Race,District,Website,Email,Twitter,Instagram,Facebook,Campaign Manager,Notes
Bruce Blakeman,Republican,Governor,Statewide - NY,https://www.blakemanfornewyork.com/,,@Bruce_Blakeman,@bruceblakeman,,,"Announced Dec 9 2025; Trump endorsed Dec 20 2025 after Stefanik dropped out; Conservative Party nomination accepted. Source: CBS NY / PBS / ABC News"
Kathy Hochul,Democrat,Governor,Statewide - NY,https://kathyhochul.com/,,@KathyHochul,@kathyhochulny,,,"Announced re-election July 2024; selected Adrienne Adams as Lt. Gov running mate Feb 4 2026. Source: 19th News / Gothamist"
Nick LaLota,Republican,U.S. House,NY-1 (Suffolk East),https://www.nicklalota.com/,,@nicklalota,@lalotaforcongress,,,"Incumbent; running for re-election; earned party nod Feb 2026; campaign filed with FEC. Source: Messenger Papers / Ballotpedia"
Christopher Gallant,Democrat,U.S. House,NY-1 (Suffolk East),https://gallantny.com/,,,,,,"Black Hawk pilot/firefighter/union leader; Democratic primary candidate; Facebook: facebook.com/gallantny. Source: Ballotpedia / OutSFL"
Jonathan Schneider,Democrat,U.S. House,NY-1 (Suffolk East),,,,,,,"Democratic primary candidate NY-1; no confirmed campaign website found as of research date. Source: Ballotpedia"
Luca Nascimbene,Democrat,U.S. House,NY-1 (Suffolk East),,,,,,,"Democratic primary candidate NY-1; FEC filing found. Source: Ballotpedia / FEC"
Lukas Ventouras,Democrat,U.S. House,NY-1 (Suffolk East),,,,,,,"Democratic primary candidate NY-1. Source: Ballotpedia"
Jonathan Jacobs,Democrat,U.S. House,NY-1 (Suffolk East),,,,,,,"Democratic primary candidate NY-1. Source: Ballotpedia"
Andrew Garbarino,Republican,U.S. House,NY-2 (Suffolk West/Nassau East),https://garbarinoforny.com/,info@garbarinoforny.com,@GarbarinoforNY,,,,"Incumbent; running for re-election; earned party nod Feb 2026; filed 13000+ signatures. Source: Garbarino campaign / Ballotpedia"
Patrick Halpin,Democrat,U.S. House,NY-2 (Suffolk West/Nassau East),https://halpinforcongress.com/,,,,,"Former Suffolk County Executive (1988-91); Democratic primary candidate. Source: Ballotpedia / Suffolk County News"
Jess Murphy,Democrat,U.S. House,NY-2 (Suffolk West/Nassau East),https://jessmurphyforcongress.com/,,,,,"Progressive Democrat; real estate investment manager; held campaign launch event Jan 27 2026 in Bay Shore. Source: Eventbrite / Ballotpedia"
Garrett Petersen,Democrat,U.S. House,NY-2 (Suffolk West/Nassau East),https://www.garrettforny.com/,,,,,"Former nominee NY-7 Assembly 2024; East Islip; Democratic primary candidate. Source: Ballotpedia"
Tom Suozzi,Democrat,U.S. House,NY-3 (Nassau),https://suozziforcongress.com/,,@Tom_Suozzi,,,,"Incumbent; declared re-election; campaign focuses on SALT relief immigration healthcare. Source: Suozzi for Congress / Ballotpedia"
Danielle Welch,Democrat,U.S. House,NY-3 (Nassau),,,,,,"Democratic primary challenger to Suozzi. Source: Ballotpedia / Twitter"
Michael LiPetri Jr.,Republican,U.S. House,NY-3 (Nassau),https://www.lipetriforcongress.com/,,,,,"Announced Feb 3 2026; rematch vs Suozzi; Trump endorsed; NRCC MAGA Majority program; Nassau County GOP and Nassau CE Blakeman endorsed. Source: PoliticsNY / LI Herald"
Gregory Hach,Republican,U.S. House,NY-3 (Nassau),,,,,,"Republican primary candidate NY-3. Source: Ballotpedia"
Michael Lavery,Republican,U.S. House,NY-3 (Nassau),,,,,,"Republican primary candidate NY-3. Source: Ballotpedia"
Laura Gillen,Democrat,U.S. House,NY-4 (Nassau South Shore),https://lauragillen.com/,,@RepLauraGillen,,,,"Incumbent; declared re-election; faces Democratic primary challengers; $2.1M cash on hand end of 2025; controversy over ICE funding vote Jan 22 2026. Source: Ballotpedia / City & State NY"
Taylor Darling,Democrat,U.S. House - Primary Challenge,NY-4 (Nassau South Shore),https://www.taylordarlingny.com/,,@IamTDarling,,@darlingforny,,"Former Assemblywoman; announced Feb 2026 primary challenge to Gillen over ICE vote. Source: City & State NY / Wikipedia"
Gian Jones,Democrat,U.S. House - Primary Challenge,NY-4 (Nassau South Shore),,,,,,"Democratic primary challenger NY-4. Source: City & State NY"
Nick Sciretta,Democrat,U.S. House - Primary Challenge,NY-4 (Nassau South Shore),,,,,,"Democratic primary challenger NY-4. Source: City & State NY"
Kiana Bierria-Anderson,Democrat,U.S. House - Primary Challenge,NY-4 (Nassau South Shore),,,,,,"Democratic primary challenger NY-4. Source: City & State NY"
Dennis McGrath,Republican,U.S. House,NY-4 (Nassau South Shore),,,,,,"Republican primary candidate NY-4. Source: Ballotpedia"
Brian Miller,Republican,U.S. House,NY-4 (Nassau South Shore),,,,,,"Republican primary candidate NY-4. Source: Ballotpedia"
Martin Smithmyer,Republican,U.S. House,NY-4 (Nassau South Shore),,,,,,"Republican primary candidate NY-4. Source: Ballotpedia"
Marvin Suber Williams,Republican,U.S. House,NY-4 (Nassau South Shore),,,,,,"Republican primary candidate NY-4. Source: Ballotpedia"
Letitia James,Democrat,Attorney General,Statewide - NY,https://www.jamesforny.com/,,,,,"Announced third-term re-election campaign; RWDSU endorsement Feb 2 2026. Source: Ballotpedia"
John R. Ferretti Jr.,Republican,Town Supervisor,Town of Hempstead (Nassau),https://www.ferrettiforsupervisor.com/,,,,,"Incumbent (won Nov 2025); re-running 2026 under NY even-year law; Nassau GOP designated. Source: LI Press / Ferretti campaign site"
Joe Scianablo,Democrat,Town Supervisor,Town of Hempstead (Nassau),https://www.joeforhempsteadsupervisor.com/,,,,,"Marine vet / retired NYPD / former prosecutor; re-launched campaign Feb 3 2026; rematch vs Ferretti; Jay Jacobs endorsement. Source: LI Press / PoliticsNY"
Jennifer DeSena,Republican,Town Supervisor,Town of NoImrth Hempstead (Nassau),https://supervisorjendesena.com/about-jen,,,,,,Incumbent; sworn in Jan 7 2026 for second term; Source: LI Press Jan 7 2026
Sean McCarthy,Democrat,Town Supervisor,Town of North Hempstead (Nassau),,,,,,"Port Washington Police Commissioner; 33-year law enforcement veteran; announced Feb 3 2026; challenging incumbent DeSena. Source: LI Press Feb 3 2026"
