County,Race/Office,District/Town,Candidate Name,Party,Campaign Website,Campaign Email,Contacted?,Notes
Nassau,County Executive,Nassau County,Bruce Blakeman,R,,,, Incumbent - won 2025
Nassau,County Executive,Nassau County,Seth Koslow,D,,,,Lost 2025
Nassau,County Comptroller,Nassau County,Elaine Phillips,R,,,,Incumbent
Nassau,County Comptroller,Nassau County,Wayne Wink,D,,,,
Nassau,County Clerk,Nassau County,Maureen O'Connell,R,,,,Incumbent
Nassau,County Clerk,Nassau County,Joylette Williams,D,,,,
Nassau,District Attorney,Nassau County,Anne Donnelly,R,,,,Incumbent - won 2025
Nassau,District Attorney,Nassau County,Nicole Aloise,D,,,,Lost 2025
Nassau,County Legislature Dist. 1,Nassau County,Scott Davis,D,,,,Incumbent
Nassau,County Legislature Dist. 1,Nassau County,Charlene Jackson Thompson,R,,,,
Nassau,County Legislature Dist. 2,Nassau County,Viviana Russell,D,,,,Westbury
Nassau,County Legislature Dist. 2,Nassau County,Pepitz Blanchard,R,,,,New Cassel
Nassau,County Legislature Dist. 3,Nassau County,Carrie Solages,D,,,,Valley Stream - Incumbent
Nassau,County Legislature Dist. 3,Nassau County,Kadeem Brown,R,,,,Elmont
Nassau,County Legislature Dist. 4,Nassau County,Patrick Mullaney,R,,,,Long Beach - Incumbent
Nassau,County Legislature Dist. 4,Nassau County,Petros Krommidas,D,,,,
Nassau,County Legislature Dist. 5,Nassau County,Olena Nicks,D,,,,Incumbent
Nassau,County Legislature Dist. 5,Nassau County,Moshe Hill,R,,,,
Nassau,County Legislature Dist. 6,Nassau County,Debra Mulé,D,,,,Incumbent
Nassau,County Legislature Dist. 6,Nassau County,Danielle Samantha Smikle,R,,,,
Nassau,County Legislature Dist. 7,Nassau County,Howard Koppel,R,,,,Incumbent
Nassau,County Legislature Dist. 7,Nassau County,Alec Fischthal,D,,,,
Nassau,County Legislature Dist. 8,Nassau County,John J. Giuffrè,R,,,,Incumbent
Nassau,County Legislature Dist. 8,Nassau County,James Lynch,D,,,,
Nassau,County Legislature Dist. 9,Nassau County,Scott Strauss,R,,,,Mineola - Incumbent
Nassau,County Legislature Dist. 9,Nassau County,Juleigh Chin,D,,,,
Nassau,County Legislature Dist. 10,Nassau County,Mazi Melesa Pilip,D,,,,Incumbent
Nassau,County Legislature Dist. 10,Nassau County,Paul Jordonne,D,,,,Manhasset
Nassau,County Legislature Dist. 11,Nassau County,Delia DeRiggi-Whitton,D,,,,Glen Cove - Incumbent
Nassau,County Legislature Dist. 11,Nassau County,Colin Bell,R,,,,
Nassau,County Legislature Dist. 12,Nassau County,Michael J. Giangregorio,R,,,,Merrick - Incumbent
Nassau,County Legislature Dist. 12,Nassau County,Michael Gionesi,D,,,,North Bellmore
Nassau,County Legislature Dist. 13,Nassau County,Thomas McKevitt,R,,,,Incumbent
Nassau,County Legislature Dist. 13,Nassau County,Clive A. Cossou,D,,,,
Nassau,County Legislature Dist. 14,Nassau County,Sheharyar Ali,R,,,,Elmont
Nassau,County Legislature Dist. 14,Nassau County,Cynthia Nunez,D,,,,Valley Stream
Nassau,County Legislature Dist. 15,Nassau County,Kayla Knight,R,,,,Wantagh
Nassau,County Legislature Dist. 15,Nassau County,Stephen Richard Hellman,D,,,,
Nassau,County Legislature Dist. 16,Nassau County,Arnold Drucker,D,,,,Incumbent
Nassau,County Legislature Dist. 16,Nassau County,Jennifer Gallub Pravato,R,,,,Farmingdale
Nassau,County Legislature Dist. 17,Nassau County,Rose Marie Walker,R,,,,Incumbent
Nassau,County Legislature Dist. 17,Nassau County,Ryan J. Johnson,D,,,,Bethpage
Nassau,County Legislature Dist. 18,Nassau County,Samantha Goetz,R,,,,Incumbent
Nassau,County Legislature Dist. 18,Nassau County,Karen Bhatia,D,,,,Roslyn Heights
Nassau,County Legislature Dist. 19,Nassau County,James Kennedy,R,,,,Massapequa
Nassau,County Legislature Dist. 19,Nassau County,Lynn Russo,D,,,,Massapequa
Nassau,Town Supervisor,Town of Hempstead,John Ferretti,R,,,,Won 2025
Nassau,Town Supervisor,Town of Hempstead,Joseph Scianablo,D,,,,Lost 2025
Nassau,Town Clerk,Town of Hempstead,Kate Murray,R,,,,Incumbent
Nassau,Town Clerk,Town of Hempstead,Yveline Dalmacy,D,,,,
Nassau,Town Board Dist. 1,Town of Hempstead,Dorothy Goosby,R,,,,Incumbent
Nassau,Town Board Dist. 1,Town of Hempstead,Jean-Baptiste Carelus,R,,,,
Nassau,Town Board Dist. 4,Town of Hempstead,Laura Ryder,R,,,,Incumbent
Nassau,Town Board Dist. 4,Town of Hempstead,Darien Ward,D,,,,Baldwin
Nassau,Town Board Dist. 6,Town of Hempstead,Dennis Dunne Sr.,R,,,,Incumbent
Nassau,Town Board Dist. 6,Town of Hempstead,Matthew Pasternak,D,,,,
Nassau,Town Supervisor,Town of North Hempstead,Jennifer DeSena,R,,,,Incumbent
Nassau,Town Supervisor,Town of North Hempstead,David Kerpin,D,,,,Port Washington
Nassau,Town Clerk,Town of North Hempstead,Ragini Srivastava,R,,,,Incumbent
Nassau,Town Clerk,Town of North Hempstead,Jason W.H. Lew,D,,,,
Nassau,Town Board Dist. 1,Town of North Hempstead,Robert Troinao Jr.,D,,,,Westbury
Nassau,Town Board Dist. 1,Town of North Hempstead,John DiFrisco,R,,,,
Nassau,Town Board Dist. 3,Town of North Hempstead,Dennis Walsh,R,,,,Incumbent
Nassau,Town Board Dist. 3,Town of North Hempstead,Lisa McArdle,D,,,,
Nassau,Town Board Dist. 5,Town of North Hempstead,Liza Chafiian,D,,,,
Nassau,Town Board Dist. 5,Town of North Hempstead,Yaron Levy,R,,,,
Nassau,Town Supervisor,Town of Oyster Bay,Joseph Saladino,R,,,,Incumbent - won 2025
Nassau,Town Supervisor,Town of Oyster Bay,Sam Sochet,D,,,,Lost 2025
Nassau,Town Clerk,Town of Oyster Bay,Richard LaMarca,R,,,,Incumbent
Nassau,Town Clerk,Town of Oyster Bay,Kamalveer Kaur,D,,,,
Nassau,Town Board,Town of Oyster Bay,Thomas Hand,R,,,,
Nassau,Town Board,Town of Oyster Bay,Louis Imbroto,R,,,,
Nassau,Town Board,Town of Oyster Bay,Andrew Monteleone,R,,,,
Nassau,Town Board,Town of Oyster Bay,Jyoti Anand,D,,,,
Nassau,Town Board,Town of Oyster Bay,Daniel T. Smith,D,,,,
Nassau,Town Board,Town of Oyster Bay,Ian D. Steinberg,D,,,,
Nassau,Mayor,City of Glen Cove,Pamela Panzenbeck,R,,,,Incumbent
Nassau,Mayor,City of Glen Cove,Marsha Silverman,D,,,,
Nassau,City Council,City of Glen Cove,Carla Anastasio,D,,,,
Nassau,City Council,City of Glen Cove,Cathryn Annette Harris Marchesi,D,,,,
Nassau,City Council,City of Glen Cove,Danielle Fugazy Scagliola,D,,,,Incumbent
Nassau,City Council,City of Glen Cove,Theresa Moschetta,D,,,,
Nassau,City Council,City of Glen Cove,John Perrone,D,,,,
Nassau,City Council,City of Glen Cove,John Zozzaro,D,,,,Incumbent
Nassau,City Council,City of Glen Cove,Grady Farnan,R,,,,Incumbent
Nassau,City Council,City of Glen Cove,Daniel Grabowski,R,,,,
Nassau,City Council,City of Glen Cove,James Greenberg,R,,,,
Nassau,City Council,City of Glen Cove,Michael Ktistakis,R,,,,Incumbent
Nassau,City Council,City of Glen Cove,Kevin Maccarone,R,,,,Incumbent
Nassau,City Council,City of Glen Cove,Ellen Pantazakos,R,,,,
Suffolk,District Attorney,Suffolk County,Ray Tierney,R,,,,Ran unopposed - won 2025
Suffolk,Town Supervisor,Town of Huntington,Edmund Smyth,R,,,,Won 2025
Suffolk,Town Supervisor,Town of Huntington,Cooper Macco,D,,,,Lost 2025 (49-48%)
Suffolk,Town Supervisor,Town of Riverhead,Jerome Halpin,D,,,,Won 2025 (by <10 votes)
Suffolk,Town Supervisor,Town of Riverhead,Timothy Hubbard,R,,,,Lost 2025 - Incumbent
Suffolk,Town Supervisor,Town of Babylon,Rich Schaffer,D,,,,Won 2025 - Incumbent
Suffolk,Town Supervisor,Town of Smithtown,Ed Wehrheim,R,,,,Won 2025 - Incumbent
Suffolk,Town Supervisor,Town of East Hampton,Kathee Burke-Gonzalez,D,,,,Won 2025 - ran unopposed
Suffolk,County Legislature Dist. 1,Suffolk County,Greg Doroski,D,,,,Won - unseated Republican incumbent
Suffolk,County Legislature Dist. 1,Suffolk County,Catherine Stark,R,,,,Incumbent - Lost 2025
Suffolk,County Legislature Dist. 2,Suffolk County,Ann Welker,,,,,Need to confirm party
Suffolk,County Legislature Dist. 3,Suffolk County,Jim Mazzarella,,,,,Need to confirm party
Suffolk,County Legislature Dist. 4,Suffolk County,Nick Caracappa,R,,,,
Suffolk,County Legislature Dist. 5,Suffolk County,Steve Englebright,D,,,,
Suffolk,County Legislature Dist. 6,Suffolk County,Chad Lennon,R,,,,
Suffolk,County Legislature Dist. 7,Suffolk County,Dominick Thorne,R,,,,
Suffolk,County Legislature Dist. 8,Suffolk County,Kelly Perry,R,,,,
Suffolk,County Legislature Dist. 9,Suffolk County,Samuel J. Gonzalez,R,,,,
Suffolk,County Legislature Dist. 10,Suffolk County,Leigh Anne Barde,R,,,,
Suffolk,County Legislature Dist. 11,Suffolk County,Steve Flotteron,R,,,,
Suffolk,County Legislature Dist. 12,Suffolk County,Leslie Kennedy,R,,,,
Suffolk,County Legislature Dist. 13,Suffolk County,Jason Richberg,D,,,,
Suffolk,County Legislature Dist. 14,Suffolk County,Rebecca Sanin,D,,,,
Suffolk,County Legislature Dist. 15,Suffolk County,Thomas Donnelly,R,,,,
